"Module","Test Case ID","Source Tag","Core Area","Core Scenario Covered","Precondition","Key Flow Covered","Validation / Expected Result","Priority","Automation Status","Feature File"
"Audience","TC-AUD-REG-11","REG-AUD-11","Preview","Preview count updates in real time when criteria are added or removed","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the customer property option on Criteria -> Click the Condition and select is one of option -> Click the + Add values enter a valid User Id and apply -> Remove one User Id value from the criteria","Check the Preview button 1 record is shown | Check the Preview button 2 records is shown | Check the Preview button 2 records is shown","High","Automated","audience.feature"
"Audience","TC-AUD-REG-12","REG-AUD-12","Negative / Validation","Saving an Audience without any criteria shows a validation error","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the Preview button and then Publish button without adding any criteria","I should see the Audience page | I should see the Create Audience page","High","Automated","audience.feature"
"Audience","TC-AUD-REG-13","REG-AUD-13","Negative / Validation","Entering text in a numeric criteria field shows a validation message","User logged in","Click the Create new Audience button -> Click the Create from scratch option -> Click the Customer Metric option on Criteria -> Click the Condition and select greater than or equal option","I should see the Audience page | I should see the Create Audience page | A field validation message should be displayed","High","Automated","audience.feature"
"Audience","TC-AUD-REG-14","REG-AUD-14","UI / Navigation","Navigation and UI consistency when switching tabs and views","User logged in","Click the card view icon -> Click the list view icon","Card view should load successfully | List view should load successfully | Verify no UI breakage or console errors across all tabs and views","Medium","Automated","audience.feature"
"Audience","TC-AUD-REG-15","REG-AUD-15","UI / Navigation","Action menu on Audience list shows all expected options","User logged in; Existing audience available","Filter the Audience with the existing Audience title -> Click the 3-dot action menu for the Audience","I should see the Audience page | All expected action options should be visible and clickable","Medium","Automated","audience.feature"
"Campaign","TC-CAMP-REG-01","REG-CAMP-01","Publish / Activation","Publish Campaign after completing all steps and verify it appears in Active tab","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the campaign is published successfully | Verify Active tab should load successfully | Verify the campaign is visible in the Active tab with Active status","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-02","REG-CAMP-02","Edit","Edit Campaign name updates successfully","User logged in","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> Click the Save as Draft button","Verify All tab should load successfully | Verify the Campaign Name is updated successfully | Verify the campaign is visible in the list with the updated name","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-03","REG-CAMP-03","Campaign Goal","Select Engagement goal Click and verify goal is saved correctly","User logged in","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Click Goal button -> click the Set Goal button","Verify the Campaign should should Create and navigate to the Edit Campaign page | Verify the Click Goal should be set successfully | Verify the goal summary section shows Click as the selected goal","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-03","REG-CAMP-03","Campaign Goal","Select Engagement goal Open and verify goal is saved correctly","User logged in","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button","Verify the Campaign should should Create and navigate to the Edit Campaign page | Verify the Open Goal should be set successfully | Verify the goal summary section shows Open as the selected goal","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-04","REG-CAMP-04","Criteria / Metric","Select Financial goal and verify goal is saved correctly","User logged in","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> Click the Financial tab on the Goal section -> Click the Deposit Goal button -> click the Set Goal button","Verify the Campaign should should Create and navigate to the Edit Campaign page | Verify the Financial Goal should be set successfully | Verify the goal summary section shows the selected Financial goal","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-05","REG-CAMP-05","Criteria / Existing Audience","Select an Existing Audience and verify it is applied to the campaign","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the Open Goal should be set successfully | Verify the selected audience name is shown in the audience summary section | Verify the estimated reach count is displayed","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-06","REG-CAMP-06","Audience Selection","Set Control Group percentage and verify it is saved correctly","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> Click the Financial tab on the Goal section -> Click the Deposit Goal button -> click the Set Goal button","Verify the Campaign should should Create and navigate to the Edit Campaign page | Verify the Open Goal should be set successfully | Verify the Control Group percentage is saved and reflected in the audience summary","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-07","REG-CAMP-07","Campaign Trigger","Set a Time-Based trigger and verify it is saved correctly","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the Campaign should should Create and navigate to the Edit Campaign page | Verify the Open Goal should be set successfully | Verify the Trigger section shows the selected date and time","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-08","REG-CAMP-08","Criteria / Event","Set an Event-Based trigger with Login event and verify it is saved","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the Campaign should should Create and navigate to the Edit Campaign page | Verify the Open Goal should be set successfully | Verify the Trigger section shows Login as the selected event trigger","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-10","REG-CAMP-10","Negative / Validation","Attempting to set trigger without configuring an event shows a validation error","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the validation error message is displayed for trigger | Verify the validation error message is displayed for trigger | Verify the trigger is not saved and the user remains on the trigger configuration screen","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-12","REG-CAMP-12","Campaign Content","Add Library Communication content to campaign and verify it is applied","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the Open Goal should be set successfully | Verify the search results are displayed | Verify the selected communication is applied and shown in the content summary","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-13","REG-CAMP-13","Campaign Content","Add a second Variant to the campaign communication and verify both are visible","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the Open Goal should be set successfully | Verify the first variant is added successfully | Verify both Variant A and Variant B are visible in the communication section","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-14","REG-CAMP-14","Campaign Content","Set Static percentage allocation for A/B variants and verify it is saved","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the Open Goal should be set successfully | Verify the total allocation equals 100 percent | Verify the allocation is saved and shown correctly in the summary","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-15","REG-CAMP-15","Campaign Content","Set Criteria-Based allocation for variants and verify criteria is applied","User logged in; Existing audience available","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> click the Existing Audience button","Verify the criteria is saved and shown correctly in the allocation summary | Verify the Publish button is Visible | Verify the campaign is saved as Draft successfully","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-16","REG-CAMP-16","Draft / Persistence","Save Campaign as Draft preserves the goal setting on re-opening","User logged in","Click the Create New Campaign button -> Enter the Campaign Name and Campaign Tag -> Click the Create campaign button -> click the Open Goal button -> click the Set Goal button -> Click the Save as Draft button","Verify the campaign is visible in the Draft tab | Verify the campaign navigates to the Edit Campaign page | Verify the Open Goal is still set and retained","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-17","REG-CAMP-17","UI / Navigation","Campaign page loads and all status tabs navigate successfully","User logged in","Click the Active tab -> Click the Completed tab -> Click the Draft tab -> Click the All tab","Verify Completed tab should load successfully | Verify Draft tab should load successfully | Verify All tab should load successfully","Medium","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-18","REG-CAMP-18","Publish / Activation","Edit Published Campaign shows Audience and Trigger fields as restricted","User logged in; Published campaign exists","Enter the Published Campaign Name in the search bar -> Click the three-dot menu on the campaign -> Click on the view report button -> Click the summary tab -> Locate the Audience section -> Locate the Trigger section","Verify the campaign details page is displayed | Verify the Audience edit button is disabled or not clickable | Verify the Trigger edit button is disabled or not clickable","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-19","REG-CAMP-19","Draft / Persistence","Duplicate Campaign copies all settings and appears in Draft tab","User logged in; Published campaign exists; Draft campaign available","Click the All tab -> Enter the Published Campaign Name in the search bar -> Click the three-dot menu on the campaign -> Click the campaign Duplicate option -> Enter the duplicated Campaign Name -> Click the Duplicate Confirm button","Verify the duplication success message is displayed | Verify Draft tab should load successfully | Verify the duplicated campaign is visible in the Draft tab","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-20","REG-CAMP-20","Draft / Persistence","Delete a Draft Campaign and verify it is removed from all tabs","User logged in; Draft campaign available","Click the Draft tab -> Enter the Campaign Name in the search bar -> Click the three-dot menu on the campaign -> Click the Delete option -> Click the Delete Confirm button -> Click the All tab","Verify the campaign is no longer visible in the Draft tab | Verify All tab should load successfully | Verify the deleted campaign does not appear in the All tab","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-21","REG-CAMP-21","Pagination","Pagination loads correct campaign data on each page","User logged in","Click the All tab -> Click the Next page button -> Click the Previous page button","Verify the campaign list has more than one page of results | Verify the second page of campaigns is loaded correctly | Verify the first page of campaigns is restored correctly","Medium","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-22","REG-CAMP-22","Search","Search Campaign by name returns correct results and clears correctly","User logged in","Click the All tab -> Enter a known Campaign Name in the search bar -> Clear the search bar","Verify All tab should load successfully | Verify only campaigns matching the search term are displayed in the list | Verify the full campaign list is restored with all campaigns visible","Medium","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-23","REG-CAMP-23","Filter","Filter campaigns by status and verify only matching campaigns are shown","User logged in","Click the All tab -> Click the Filter button -> Select a filter criteria such as trigger type or goal type -> Apply the selected filter -> Click the Clear Filter button","Verify All tab should load successfully | Verify only campaigns matching the selected filter are displayed | Verify the full campaign list is restored with all campaigns visible","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-24","REG-CAMP-24","History Log","Campaign History Log displays correct activity entries with timestamps","User logged in","Click the All tab -> Enter the Campaign Name in the search bar -> Click the three-dot menu on the campaign -> Click the History Log tab or button","Verify the campaign is visible in the list | Verify the History Log section is displayed | Verify at least one activity entry is visible in the history log","High","Automated","campaign.feature"
"Campaign","TC-CAMP-REG-25","REG-CAMP-25","Reporting","View Campaign Report loads and displays key metrics correctly","User logged in","Click the Active tab -> Enter the Campaign Name in the search bar -> Click the three-dot menu on the campaign -> Click the View Report button","Verify the campaign is visible in the list | Verify the Campaign Report page is displayed | Verify the report data is loaded without any errors","High","Automated","campaign.feature"
"Dashboard","TC-DASH-REG-01","REG-DASH-01","UI / Navigation","Dashboard page loads successfully","User logged in","KPI widgets should load -> Notification tab should load -> Business Performance tab should load -> Marketing tab should load","I should see the Dashboard page | KPI widgets should load","Medium","Automated","dashboard.feature"
"Dashboard","TC-DASH-REG-02","REG-DASH-02","Filter","Dashboard filter interaction updates data","User logged in","KPI widgets should load -> I apply Last 30 days filter on Dashboard -> KPI data should change -> Marketing tab should load -> Business Performance tab should load","KPI widgets should load | KPI data should change","High","Automated","dashboard.feature"
"Settings","TC-SET-REG-01","REG-SET-01","UI / Navigation","Settings page loads successfully","User logged in","","I should see the Settings page","Medium","Automated","settings.feature"
"Workflow","TC-WORKFLOW-REG-01","REG-WORKFLOW-01","UI / Navigation","Workflow page load","User logged in","Click The Active tab -> Click The Inactive tab -> Click The Draft tab -> Click The All tab","Verify Workflow Inactive tab should load successfully | Verify Workflow Draft tab should load successfully | Verify Workflow All tab should load successfully","Medium","Automated","workflow.feature"
"Workflow","TC-WORKFLOW-REG-02","REG-WORKFLOW-02","Negative / Validation","Workflow Activation with error validation","User logged in","Click The Create New Workflow button -> Click the workflow create from scratch button -> enter the Workflow name and Tag -> Click The Create Workflow button -> click the Setup Enrollment node -> click the Workflow New Audience button","I should see the Workflow page | Verify Workflow Active tab should load successfully | Verify the workflow name is shown in the list","High","Automated","workflow.feature"
"Workflow","TC-WORKFLOW-REG-03","REG-WORKFLOW-03","Criteria / Existing Audience","Workflow creation with Existing Audience enrollment and Delay node saved as Draft","User logged in; Existing audience available","Click The Create New Workflow button -> Click the workflow create from scratch button -> enter the Workflow name and Tag -> Click The Create Workflow button -> click the Setup Enrollment node -> Click the Existing Audience enrollment option","I should see the Workflow page | Verify Workflow Edit page should load successfully | Verify the workflow name is shown in the list","High","Automated","workflow.feature"
